epoch,train_loss,val_best_threshold,val_best_balanced_accuracy,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_brier,val_ece,val_roc_auc,val_fpr,val_fnr,val_loss
1,0.37307358320057393,0.7649999999999999,0.833,0.5,0.8105,0.8105,0.7251631617113851,1.0,0.8406893652795292,0.1400262499850712,0.10339329264819799,0.901004,0.37899999999962103,0.0,0.5407548359334469
2,0.2836637881807983,0.7599999999999999,0.8765000000000001,0.5,0.8355,0.8355,0.7524454477050414,1.0,0.8587376556462001,0.10886838574839487,0.05485642380057897,0.939494,0.328999999999671,0.0,0.35565748992562296
3,0.25568730372935533,0.5549999999999999,0.9219999999999999,0.5,0.912,0.9119999999999999,0.8527397260273972,0.996,0.9188191881918819,0.06027946331908217,0.018360368999746884,0.973702,0.171999999999828,0.003999999999996,0.19704126904904842
