transformation,threshold,accuracy,balanced_accuracy,precision,recall,f1,brier,ece,roc_auc,fpr,fnr,loss
clean,0.5049999999999999,0.4998,0.4998,0.4998585972850679,0.707,0.5856527501656726,0.2501523050361958,0.01105759230256087,0.5006643199999999,0.7073999999998585,0.29299999999994136,0.6934520353317261
jpeg_q95,0.5049999999999999,0.5005,0.5005,0.5003326679973387,0.752,0.6008789452656812,0.25017341444531965,0.011743795493245113,0.5004105,0.7509999999998498,0.24799999999995037,0.693494298171997
jpeg_q85,0.5049999999999999,0.5002,0.5002,0.5001341921631777,0.7454,0.5986186957918407,0.2501729673506884,0.011789623311161956,0.50021162,0.7449999999998509,0.25459999999994903,0.6934933938980102
jpeg_q75,0.5049999999999999,0.5001,0.5001,0.5000703729767769,0.7106,0.5870301528294093,0.25015460573758597,0.011024591246247328,0.50020576,0.7103999999998578,0.2893999999999421,0.6934566324234008
jpeg_q50,0.5049999999999999,0.5001,0.5001,0.5000803470994697,0.6224,0.5545754254655618,0.2501158034624383,0.00928042699396614,0.50015192,0.6221999999998755,0.37759999999992444,0.6933789440155029
resize_down_up,0.5049999999999999,0.5002,0.5002,0.5013966480446927,0.0718,0.12561231630510847,0.2500821452852933,0.008174623784422907,0.49999602000000004,0.07139999999998571,0.9281999999998143,0.6933115378379822
gaussian_blur,0.5049999999999999,0.5,0.5,0.5,0.0454,0.08324165749908324,0.250104313160525,0.009623017519712396,0.50000694,0.04539999999999091,0.954599999999809,0.6933559128761292
gaussian_noise,0.5049999999999999,0.5,0.5,0.5,0.9734,0.6606488394190309,0.25032056493531046,0.017486835348606067,0.50039842,0.9733999999998052,0.026599999999994677,0.6937889559745789
